groupId,groupName,status,type,department,category,subcategory,needType,symptoms,aliases,keywords,activeIngredient,targetCustomer,areaType,aisle,side,section,sectionLabel,zoneId,horizontal,vertical,shelfNote,advice,ageRestricted,pharmacistOnly,priority,notes,bay
tommee-tippee-feeding-storage-bay1-bottom,Tommee Tippee Milk Storage,active,Category,Baby,Breastfeeding,Milk Storage,baby-care,,"milk pouch,breast milk pouch","Tommee Tippee,Express and Go,pouches,breast milk storage",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,bottom,Bay 1 Tommee Tippee bottom rows,FALSE,FALSE,FALSE,70,,1
tommee-tippee-steriliser-warmer-bay1-bottom,Tommee Tippee Sterilisers & Warmers,active,Category,Baby,Baby Feeding,Sterilisers & Bottle Warmers,baby-care,,"steriliser,bottle warmer,warmer,Perfect Prep","Tommee Tippee,steriliser,warmer,Perfect Prep,filter,microwave steam",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay1,right,bottom,Bay 1 Tommee Tippee bottom rows,TRUE,FALSE,FALSE,88,,1
avent-cleaning-bay2-top,Avent Cleaning Accessories,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle brush,teat brush,cotton stick","Avent,Swisspers,bottle brush,cleaning,teat brush",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,top,Bay 2 Avent top rows,FALSE,FALSE,FALSE,76,,2
avent-feeding-storage-bay2-top,Avent Feeding Storage,active,Category,Baby,Baby Feeding,Milk & Food Storage,baby-care,,"milk dispenser,formula dispenser","Avent,powdered milk,dispenser,container,storage",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,top,Bay 2 Avent top rows,FALSE,FALSE,FALSE,72,,2
avent-cups-bay2-top,Avent Cups,active,Category,Baby,Baby Feeding,Training Cups,baby-care,,"sippy cup,straw cup,trainer cup","Avent,cup,grippy,straw,bendy,easy sip,trainer",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,top,Bay 2 Avent top rows,FALSE,FALSE,FALSE,84,,2
avent-soothers-bay2-top,Avent Soothers Top,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","Avent,soother,pacifier,dummy,ultra air,ultra soft,soothie",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,top,Bay 2 Avent top rows,FALSE,FALSE,FALSE,86,Age ranges vary by product,2
avent-soothers-bay2-middle,Avent Soothers Middle,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","Avent,soother,pacifier,dummy,night,ultra air,ultra soft,soothie",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,middle,Bay 2 Avent middle rows,FALSE,FALSE,FALSE,86,Age ranges vary by product,2
avent-teats-bay2-middle,Avent Teats,active,Category,Baby,Baby Feeding,Bottle Teats,baby-care,,"bottle teat,nipple","Avent,Natural Response,teat,variable flow,nipple",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,middle,Bay 2 Avent bottle rows,FALSE,FALSE,FALSE,75,,2
avent-bottles-bay2-middle,Avent Natural Response & Anti-Colic Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,"colic,wind,reflux","baby bottle,feeding bottle,anti-colic bottle","Avent,Natural Response,Anti-colic,bottle,teat,starter set",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,middle,Bay 2 Avent bottle rows,TRUE,FALSE,FALSE,86,,2
avent-breastfeeding-accessories-bay2-top,Avent Breastfeeding Accessories,active,Category,Baby,Breastfeeding,Nipple Shields,baby-care,,"nipple shield,breastfeeding shield","Avent,nipple shield,breastfeeding",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,top,Bay 2 Avent top rows,TRUE,FALSE,FALSE,70,,2
avent-breast-pumps-bay2-bottom,Avent Breast Pumps,active,Category,Baby,Breastfeeding,Breast Pumps,baby-care,,"breast pump,electric pump","Avent,breast pump,single electric",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,bottom,Bay 2 Avent bottom rows,TRUE,FALSE,FALSE,82,,2
avent-steriliser-warmer-bay2-bottom,Avent Sterilisers & Warmers,active,Category,Baby,Baby Feeding,Sterilisers & Bottle Warmers,baby-care,,"steriliser,bottle warmer,steam steriliser","Avent,steriliser,warmer,microwave steam,electric steam",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,bottom,Bay 2 Avent bottom rows,TRUE,FALSE,FALSE,86,,2
avent-feeding-storage-bay2-bottom,Avent Breast Milk Storage,active,Category,Baby,Breastfeeding,Milk Storage,baby-care,,"breast milk container,milk storage","Avent,Via,container,breast milk storage",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,bottom,Bay 2 Avent bottom rows,FALSE,FALSE,FALSE,72,,2
milton-sterilising-bay2-bottom,Milton Sterilising,active,Category,Baby,Baby Feeding,Sterilising Solutions,daily-use,,"sterilising tablets,antibacterial solution","Milton,sterilising,antibacterial,tablets,solution",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,bottom,Bay 2 bottom sterilising area,FALSE,FALSE,FALSE,72,,2
milton-cleaning-bay2-bottom,Milton Baby Cleaning,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle cleaner,antibacterial spray,wipes","Milton,bottle cleaner,antibacterial,spray,cleaner,wipes",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay2,right,bottom,Bay 2 bottom cleaning area,FALSE,FALSE,FALSE,70,,2
nuk-teats-bay3-top,NUK Teats,active,Category,Baby,Baby Feeding,Bottle Teats,baby-care,,"bottle teat,nipple","NUK,teat,flow teat,First Choice",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 NUK top rows,FALSE,FALSE,FALSE,70,,3
nuk-bottles-bay3-top,NUK Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle","NUK,bottle,temperature control,temp control",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 NUK top rows,FALSE,FALSE,FALSE,74,,3
pigeon-soothers-bay3-top,Pigeon Pacifiers,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","Pigeon,pacifier,dummy,soother,Mini Light",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Pigeon top rows,FALSE,FALSE,FALSE,78,,3
medela-breast-milk-storage-bay3-top,Medela Milk Storage,active,Category,Baby,Breastfeeding,Milk Storage,baby-care,,"breast milk bag,milk storage bag","Medela,breast milk bags,storage bags",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Medela top rows,FALSE,FALSE,FALSE,78,,3
medela-breast-pump-accessories-bay3-top,Medela Breast Pump Accessories,active,Category,Baby,Breastfeeding,Breast Pump Accessories,baby-care,,"breast shield,valve,membrane,flange","Medela,PersonalFit Flex,breast shield,valve,membrane,collection shells",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Medela top rows,TRUE,FALSE,FALSE,80,Sizes vary by product,3
medela-breastfeeding-accessories-bay3-top,Medela Breastfeeding Accessories,active,Category,Baby,Breastfeeding,Nipple Shields & Teats,baby-care,,"nipple shield,teat,breastfeeding shield","Medela,Calma,nipple shield,contact shield,breastfeeding",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Medela top rows,TRUE,FALSE,FALSE,75,,3
pigeon-feeding-storage-bay3-top,Pigeon Feeding Storage,active,Category,Baby,Baby Feeding,Milk & Food Storage,baby-care,,"powder container,formula container","Pigeon,powder milk,container,storage",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Pigeon top rows,FALSE,FALSE,FALSE,70,,3
pigeon-cleaning-bay3-top,Pigeon Cleaning Accessories,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle brush,teat brush","Pigeon,bottle brush,teat brush,nylon brush,cleaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,top,Bay 3 Pigeon top rows,FALSE,FALSE,FALSE,75,,3
pigeon-bottles-bay3-middle,Pigeon Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle,softouch bottle","Pigeon,Softouch,G3,bottle,glass bottle,PP bottle",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Pigeon middle rows,FALSE,FALSE,FALSE,82,,3
pigeon-feeding-storage-bay3-middle,Pigeon Breast Milk Storage,active,Category,Baby,Breastfeeding,Milk Storage,baby-care,,"breast milk bag,milk storage bag","Pigeon,breast milk storage bags",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Pigeon middle rows,FALSE,FALSE,FALSE,72,,3
medela-sterilising-bay3-middle,Medela Quick Clean,active,Category,Baby,Breastfeeding,Sterilising Bags,daily-use,,"sterilising bag,microwave bag","Medela,Quick Clean,microwave bags,steriliser bags",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Medela middle rows,FALSE,FALSE,FALSE,72,,3
medela-breast-pump-accessories-bay3-middle,Medela Handsfree Accessories,active,Category,Baby,Breastfeeding,Breast Pump Accessories,baby-care,,"collection cup,handsfree cup","Medela,handsfree,collection cups,breast pump accessory",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Medela middle rows,TRUE,FALSE,FALSE,80,,3
welcare-breast-pumps-bay3-middle,Welcare Breast Pumps,active,Category,Baby,Breastfeeding,Breast Pumps,baby-care,,"breast pump,electric pump,USB pump","Welcare,electric breast pump,USB-C",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Welcare middle rows,TRUE,FALSE,FALSE,75,,3
welcare-baby-monitoring-bay3-middle,Welcare Baby Monitoring,active,Category,Baby,Baby Care,Baby Monitoring,baby-care,,"bed alarm,wireless alarm","Welcare,wireless bed alarm,Sidry",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,middle,Bay 3 Welcare middle rows,TRUE,FALSE,FALSE,62,,3
pigeon-breast-pumps-bay3-bottom,Pigeon Breast Pumps,active,Category,Baby,Breastfeeding,Breast Pumps,baby-care,,"breast pump,milk saver,electric pump","Pigeon,Go Mini Plus,milk saver pump,breast pump",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 lower pump rows,TRUE,FALSE,FALSE,84,,3
medela-breast-pumps-bay3-bottom,Medela Breast Pumps,active,Category,Baby,Breastfeeding,Breast Pumps,baby-care,,"breast pump,manual pump,electric pump,hands-free pump","Medela,Harmony,Solo,Swing Maxi,breast pump,hands-free",,"mother,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 lower pump rows,TRUE,FALSE,FALSE,90,,3
pigeon-bottles-bay3-bottom,Pigeon Bottle Sets,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,starter set","Pigeon,Softouch,bottle starter set",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 bottom bottle rows,FALSE,FALSE,FALSE,78,,3
pigeon-bottle-accessories-bay3-bottom,Pigeon Bottle Accessories,active,Category,Baby,Baby Feeding,Bottle Accessories,baby-care,,bottle handle,"Pigeon,bottle handle,accessory",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 bottom bottle rows,FALSE,FALSE,FALSE,60,,3
pigeon-cleaning-bay3-bottom,Pigeon Bottle Cleansers,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle cleanser,liquid cleanser,refill","Pigeon,bottle cleanser,liquid cleanser,refill,cleaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 bottom cleaning rows,FALSE,FALSE,FALSE,75,,3
nuk-cleaning-bay3-bottom,NUK Bottle Cleaning,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle cleanser,baby bottle cleaner","NUK,bottle cleanser,cleaner",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay3,middle,bottom,Bay 3 bottom cleaning rows,FALSE,FALSE,FALSE,70,,3
nuk-soothers-bay4-top,NUK Soothers,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","NUK,soother,pacifier,dummy,Mickey,silicone,latex",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 NUK top rows,FALSE,FALSE,FALSE,80,Age ranges vary by product,4
nuk-teats-bay4-top,NUK First Choice Teats,active,Category,Baby,Baby Feeding,Bottle Teats,baby-care,,"bottle teat,nipple","NUK,First Choice,latex teat,teat",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 NUK top rows,FALSE,FALSE,FALSE,70,,4
nuk-bottles-bay4-top,NUK Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle","NUK,First Choice,bottle,glass bottle,PP bottle",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 NUK top rows,FALSE,FALSE,FALSE,75,,4
bbox-teethers-bay4-top,B.Box Teethers,active,Category,Baby,Baby Care,Teethers,baby-care,"teething,sore gums","teether,wrist teether","B.Box,wrist teether,teether,blue fox,pink fox,lullaby,sand fox",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 B.Box top rows,FALSE,FALSE,FALSE,78,,4
bbox-cups-bay4-top,B.Box Training Cups,active,Category,Baby,Baby Feeding,Training Cups,baby-care,,"training cup,sippy cup","B.Box,training cup,cup,blush,lullaby",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 B.Box top rows,FALSE,FALSE,FALSE,72,,4
bbox-cup-accessories-bay4-top,B.Box Cup Accessories Top,active,Category,Baby,Baby Feeding,Cup Accessories,baby-care,,"replacement pouch,cup spare","B.Box,silicone replacement pouch,replace pouch,spare",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,top,Bay 4 B.Box top rows,FALSE,FALSE,FALSE,65,,4
bbox-cups-bay4-middle,B.Box Cups,active,Category,Baby,Baby Feeding,Training Cups,baby-care,,"sippy cup,straw cup,360 cup,spout cup","B.Box,sippy cup,360 cup,spout cup,Tritan,Disney,gel",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,middle,Bay 4 B.Box middle rows,FALSE,FALSE,FALSE,85,Colours and sizes vary by product,4
bbox-feeding-bay4-middle,B.Box Feeding Accessories,active,Category,Baby,Baby Feeding,Feeding Accessories,baby-care,,"food feeder,feeder","B.Box,silicone fresh food feeder,feeding,weaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,middle,Bay 4 B.Box middle rows,FALSE,FALSE,FALSE,70,,4
bbox-bottles-bay4-middle,B.Box Drink Bottles,active,Category,Baby,Baby Feeding,Drink Bottles,daily-use,,"drink bottle,Tritan bottle,straw bottle","B.Box,Tritan bottle,drink bottle,450ml",,"toddler,child,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,middle,Bay 4 B.Box middle rows,FALSE,FALSE,FALSE,74,,4
bbox-cleaning-bay4-bottom,B.Box Cleaning,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,"bottle cleaner,cleaning brush","B.Box,bottle cleaner,brush set,cleaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,bottom,Bay 4 B.Box bottom rows,FALSE,FALSE,FALSE,70,,4
bbox-cup-accessories-bay4-bottom,B.Box Cup Accessories Bottom,active,Category,Baby,Baby Feeding,Cup Accessories,baby-care,,"replacement straw,straw cleaner,silicone straw","B.Box,replacement straw,silicone straws,straw cleaner,spares",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,bottom,Bay 4 B.Box bottom rows,FALSE,FALSE,FALSE,68,,4
bbox-bottles-bay4-bottom,B.Box Sport & Insulated Bottles,active,Category,Baby,Baby Feeding,Drink Bottles,daily-use,,"sport bottle,insulated bottle,drink bottle","B.Box,sport bottle,insulated bottle,500ml,spout bottle",,"child,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay4,left,bottom,Bay 4 B.Box bottom rows,FALSE,FALSE,FALSE,78,,4
nuby-soothers-bay5-top,Nuby Pacifiers,active,Category,Baby,Baby Care,Soothers & Pacifiers,baby-care,"teething,settling,comfort","dummy,pacifier,soother","Nuby,pacifier,dummy,silicone",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Nuby top rows,FALSE,FALSE,FALSE,72,,5
nuby-teethers-bay5-top,Nuby Teethers,active,Category,Baby,Baby Care,Teethers,baby-care,"teething,sore gums","teether,chew toy","Nuby,teether,chewy,teethe-eez,banana,fruit teether",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Nuby top rows,FALSE,FALSE,FALSE,78,,5
nuby-cleaning-bay5-top,Nuby Pacifier Cleaning,active,Category,Baby,Baby Care,Baby Cleaning,daily-use,,"pacifier wipes,dummy wipes","Nuby,Citroganic,pacifier wipes,wipes",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Nuby top rows,FALSE,FALSE,FALSE,70,,5
playgro-bath-toys-bay5-top,Playgro Bath Toys,active,Category,Baby,Baby Toys,Bath Toys,baby-care,,"bath toy,water toy","Playgro,float and scoop,whales,bath toy",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Playgro top rows,FALSE,FALSE,FALSE,60,,5
nuby-cups-bay5-top,Nuby Cups,active,Category,Baby,Baby Feeding,Training Cups,baby-care,,"sippy cup,straw cup,trainer cup","Nuby,cup,straw cup,360 cup,no spill,Flip-It,Tritan",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Nuby top rows,FALSE,FALSE,FALSE,80,,5
nuby-bottles-bay5-top,Nuby Bottles,active,Category,Baby,Baby Feeding,Baby Bottles,baby-care,,"baby bottle,feeding bottle","Nuby,bottle,non-drip",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,top,Bay 5 Nuby top rows,FALSE,FALSE,FALSE,72,,5
nuby-cleaning-bay5-middle,Nuby Bottle Cleaning,active,Category,Baby,Baby Feeding,Bottle Cleaning,daily-use,,bottle brush,"Nuby,bottle brush,cleaning",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Nuby middle rows,FALSE,FALSE,FALSE,70,,5
nuby-feeding-storage-bay5-middle,Nuby Food Storage,active,Category,Baby,Baby Feeding,Food Storage,baby-care,,"freezer pots,freezer tray,baby food storage","Nuby,Garden Fresh,freezer pots,freezer tray",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Nuby middle rows,FALSE,FALSE,FALSE,70,,5
nuby-feeding-bay5-middle,Nuby Feeding Accessories,active,Category,Baby,Baby Feeding,Feeding Accessories,baby-care,,"baby spoon,weaning spoon,cutlery,feeder,mat","Nuby,spoons,cutlery,Dipeez,Sure Grip,Astro Mat,Snack N Sip",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Nuby middle rows,FALSE,FALSE,FALSE,75,,5
nuby-bibs-bay5-middle,Nuby Bibs,active,Category,Baby,Baby Feeding,Bibs,baby-care,,"bib,feeding bib,disposable bib","Nuby,bibs,disposable bibs,feeding",,"baby,toddler,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Nuby middle rows,FALSE,FALSE,FALSE,70,,5
disney-baby-bay5-middle,Disney Baby Toys,active,Category,Baby,Baby Toys,Baby Books & Teethers,baby-care,teething,"soft book,teether blanket","Disney,teether blanket,soft book,baby toy",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Disney middle rows,FALSE,FALSE,FALSE,68,,5
bambi-mini-baby-bay5-middle,Bambi Mini Baby Accessories,active,Category,Baby,Baby Care,Baby Accessories,baby-care,,"diaper bag,nappy bag","Bambi Mini,diaper bag,baby accessories",,"baby,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,middle,Bay 5 Bambi Mini middle rows,FALSE,FALSE,FALSE,58,,5
jack-n-jill-oral-bay5-bottom,Jack N Jill Baby Oral Care,active,Category,Oral Care,Baby Oral Care,Toothbrushes,daily-use,"baby teeth,oral hygiene","baby toothbrush,finger brush,straw brush","Jack N Jill,baby toothbrush,silicone finger brush,toothbrush,oral care",,"baby,toddler,child,parent",aisle,2,bottom,1,"Baby, Teats & Soothers",aisle-2-down-section-1-bay5,left,bottom,Bay 5 bottom oral care rows,FALSE,FALSE,FALSE,76,,5
